"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"114220","20-03-26 21:00","Spain","LaLiga","2025/2026","Villarreal","Real Sociedad","3","1","H","3","0","H","0","1","A"
"110051","16-03-26 21:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Levante","1","1","D","0","1","A","1","0","H"
"108029","15-03-26 21:00","Spain","LaLiga","2025/2026","Real Sociedad","Osasuna","3","1","H","2","0","H","1","1","D"
"108028","15-03-26 18:30","Spain","LaLiga","2025/2026","Betis","Celta Vigo","1","1","D","0","1","A","1","0","H"
"108027","15-03-26 16:15","Spain","LaLiga","2025/2026","Barcelona","Sevilla","5","2","H","3","1","H","2","1","H"
"108026","15-03-26 14:00","Spain","LaLiga","2025/2026","Mallorca","Espanyol","2","1","H","0","1","A","2","0","H"
"106626","14-03-26 21:00","Spain","LaLiga","2025/2026","Real Madrid","Elche","4","1","H","2","0","H","2","1","H"
"106625","14-03-26 18:30","Spain","LaLiga","2025/2026","Oviedo","Valencia","1","0","H","1","0","H","0","0","D"
"106624","14-03-26 16:15","Spain","LaLiga","2025/2026","Atl. Madrid","Getafe","1","0","H","1","0","H","0","0","D"
"106623","14-03-26 14:00","Spain","LaLiga","2025/2026","Girona","Ath Bilbao","3","0","H","1","0","H","2","0","H"
"105953","13-03-26 21:00","Spain","LaLiga","2025/2026","Alaves","Villarreal","1","1","D","1","0","H","0","1","A"
"100585","09-03-26 21:00","Spain","LaLiga","2025/2026","Espanyol","Oviedo","1","1","D","1","1","D","0","0","D"
"99656","08-03-26 21:00","Spain","LaLiga","2025/2026","Valencia","Alaves","3","2","H","0","1","A","3","1","H"
"99646","08-03-26 18:30","Spain","LaLiga","2025/2026","Sevilla","Rayo Vallecano","1","1","D","1","0","H","0","1","A"
"99624","08-03-26 16:15","Spain","LaLiga","2025/2026","Getafe","Betis","2","0","H","2","0","H","0","0","D"
"99607","08-03-26 14:00","Spain","LaLiga","2025/2026","Villarreal","Elche","2","1","H","2","0","H","0","1","A"
"99579","07-03-26 21:00","Spain","LaLiga","2025/2026","Ath Bilbao","Barcelona","0","1","A","0","0","D","0","1","A"
"99563","07-03-26 18:30","Spain","LaLiga","2025/2026","Atl. Madrid","Real Sociedad","3","2","H","1","1","D","2","1","H"
"99548","07-03-26 16:15","Spain","LaLiga","2025/2026","Levante","Girona","1","1","D","0","0","D","1","1","D"
"99510","07-03-26 14:00","Spain","LaLiga","2025/2026","Osasuna","Mallorca","2","2","D","0","1","A","2","1","H"
"99494","06-03-26 21:00","Spain","LaLiga","2025/2026","Celta Vigo","Real Madrid","1","2","A","1","1","D","0","1","A"
