"id","matchDate","Country","League","Season","homeTeam","awayTeam","HCFT","ACFT","HC1H","AC1H","HC2H","AC2H","HYCFT","AYCFT","HYC1H","AYC1H","HYC2H","AYC2H"
"89594","01-02-26 16:15","Spain","LaLiga","2025/2026","Betis","Valencia","3","5","1","4","2","1","0","3","0","0","0","3"
"89578","01-02-26 14:00","Spain","LaLiga","2025/2026","Real Madrid","Rayo Vallecano","9","4","4","2","5","2","2","8","0","0","2","8"
"88949","31-01-26 21:00","Spain","LaLiga","2025/2026","Elche","Barcelona","2","8","1","3","1","5","2","1","1","0","1","1"
"88936","31-01-26 18:30","Spain","LaLiga","2025/2026","Levante","Atl. Madrid","4","7","1","4","3","3","2","1","0","1","2","0"
"88922","31-01-26 16:15","Spain","LaLiga","2025/2026","Osasuna","Villarreal","6","2","4","1","2","1","2","2","1","1","1","1"
"88873","31-01-26 14:00","Spain","LaLiga","2025/2026","Oviedo","Girona","4","4","1","1","3","3","1","1","1","0","0","1"
"88854","30-01-26 21:00","Spain","LaLiga","2025/2026","Espanyol","Alaves","4","2","0","0","4","2","0","1","0","1","0","0"
"86848","26-01-26 21:00","Spain","LaLiga","2025/2026","Girona","Getafe","3","4","2","2","1","2","5","3","1","1","4","2"
"85222","25-01-26 21:00","Spain","LaLiga","2025/2026","Alaves","Betis","6","4","2","2","4","2","1","1","0","1","1","0"
"85216","25-01-26 18:30","Spain","LaLiga","2025/2026","Real Sociedad","Celta Vigo","2","9","1","5","1","4","1","1","1","1","0","0"
"85203","25-01-26 16:15","Spain","LaLiga","2025/2026","Barcelona","Oviedo","10","1","3","0","7","1","1","2","1","2","0","0"
"85188","25-01-26 14:00","Spain","LaLiga","2025/2026","Atl. Madrid","Mallorca","10","3","6","2","4","1","2","1","0","0","2","1"
"84322","24-01-26 21:00","Spain","LaLiga","2025/2026","Villarreal","Real Madrid","6","6","4","2","2","4","3","1","1","0","2","1"
"84310","24-01-26 18:30","Spain","LaLiga","2025/2026","Sevilla","Ath Bilbao","5","5","2","2","3","3","2","1","0","1","2","0"
"84300","24-01-26 16:15","Spain","LaLiga","2025/2026","Valencia","Espanyol","2","7","1","3","1","4","1","5","0","1","1","4"
"84255","24-01-26 14:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Osasuna","4","3","1","1","3","2","2","2","0","1","2","1"
"83928","23-01-26 21:00","Spain","LaLiga","2025/2026","Levante","Elche","9","1","5","1","4","0","2","3","1","0","1","3"
"81005","19-01-26 21:00","Spain","LaLiga","2025/2026","Elche","Sevilla","9","7","4","3","5","4","3","1","1","0","2","1"
"79706","18-01-26 21:00","Spain","LaLiga","2025/2026","Real Sociedad","Barcelona","6","8","2","4","4","4","3","3","1","0","2","3"
"79700","18-01-26 18:30","Spain","LaLiga","2025/2026","Celta Vigo","Rayo Vallecano","5","7","5","4","0","3","4","3","1","0","3","3"
"79689","18-01-26 16:15","Spain","LaLiga","2025/2026","Atl. Madrid","Alaves","6","6","3","1","3","5","1","1","1","1","0","0"
"79678","18-01-26 14:00","Spain","LaLiga","2025/2026","Getafe","Valencia","9","3","4","1","5","2","2","3","0","0","2","3"
"79666","17-01-26 21:00","Spain","LaLiga","2025/2026","Betis","Villarreal","2","3","1","2","1","1","3","2","0","1","3","1"
"79653","17-01-26 18:30","Spain","LaLiga","2025/2026","Osasuna","Oviedo","3","6","2","4","1","2","1","4","0","3","1","1"
