"id","matchDate","Country","League","Season","homeTeam","awayTeam","HBPFT","ABPFT","HBP1H","ABP1H","HBP2H","ABP2H","HTSFT","ATSFT","HTS1H","ATS1H","HTS2H","ATS2H","HSONFT","ASONFT","HSON1H","ASON1H","HSON2H","ASON2H","HSOFFFT","ASOFFFT","HSOFF1H","ASOFF1H","HSOFF2H","ASOFF2H"
"75776","04-01-26 18:30","Spain","LaLiga","2025/2026","Alaves","Oviedo","57","43","52","48","61","39","18","18","8","8","10","10","7","6","2","2","5","4","8","7","5","4","3","3"
"75777","04-01-26 18:30","Spain","LaLiga","2025/2026","Mallorca","Girona","49","51","36","64","64","36","9","9","3","5","6","4","2","4","1","2","1","2","4","2","2","0","2","2"
"75768","04-01-26 16:15","Spain","LaLiga","2025/2026","Real Madrid","Betis","61","39","57","43","65","35","19","13","9","5","10","8","9","5","1","0","8","5","5","6","5","4","0","2"
"75748","04-01-26 14:00","Spain","LaLiga","2025/2026","Sevilla","Levante","64","36","57","43","72","28","15","6","3","3","12","3","7","4","2","2","5","2","3","1","0","1","3","0"
"75735","03-01-26 21:00","Spain","LaLiga","2025/2026","Espanyol","Barcelona","31","69","28","72","35","65","14","15","7","3","7","12","7","6","3","1","4","5","1","5","0","2","1","3"
"75722","03-01-26 18:30","Spain","LaLiga","2025/2026","Elche","Villarreal","78","22","75","25","81","19","16","12","9","7","7","5","2","4","1","3","1","1","8","6","6","2","2","4"
"75715","03-01-26 16:15","Spain","LaLiga","2025/2026","Osasuna","Ath Bilbao","49","51","48","52","49","51","11","16","9","6","2","10","4","6","4","2","0","4","4","6","2","4","2","2"
"75704","03-01-26 14:00","Spain","LaLiga","2025/2026","Celta Vigo","Valencia","40","60","38","62","42","58","12","16","4","8","8","8","6","5","2","1","4","4","5","8","2","6","3","2"
"75696","02-01-26 21:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Getafe","60","40","68","32","51","49","13","12","9","7","4","5","4","4","2","2","2","2","5","6","3","3","2","3"
"75498","22-12-25 21:00","Spain","LaLiga","2025/2026","Ath Bilbao","Espanyol","66","34","55","45","76","24","17","10","8","5","9","5","7","5","4","3","3","2","4","3","1","1","3","2"
"75482","21-12-25 21:00","Spain","LaLiga","2025/2026","Betis","Getafe","49","51","57","43","39","61","19","15","9","3","10","12","8","3","3","0","5","3","9","7","5","1","4","6"
"75483","21-12-25 18:30","Spain","LaLiga","2025/2026","Elche","Rayo Vallecano","46","54","44","56","48","52","18","18","10","9","8","9","6","8","2","4","4","4","9","6","5","2","4","4"
"75484","21-12-25 16:15","Spain","LaLiga","2025/2026","Villarreal","Barcelona","20","80","28","72","14","86","14","19","8","5","6","14","5","5","2","1","3","4","6","9","5","4","1","5"
"75485","21-12-25 14:00","Spain","LaLiga","2025/2026","Girona","Atl. Madrid","51","49","55","45","46","54","9","14","4","8","5","6","2","6","1","3","1","3","2","5","1","4","1","1"
"75448","20-12-25 21:00","Spain","LaLiga","2025/2026","Real Madrid","Sevilla","53","47","57","43","48","52","18","14","8","4","10","10","8","5","2","0","6","5","7","5","5","3","2","2"
"75449","20-12-25 18:30","Spain","LaLiga","2025/2026","Osasuna","Alaves","47","53","51","49","42","58","16","7","6","3","10","4","7","3","1","1","6","2","7","3","3","1","4","2"
"75450","20-12-25 16:15","Spain","LaLiga","2025/2026","Levante","Real Sociedad","44","56","42","58","47","53","13","18","3","9","10","9","3","6","1","2","2","4","5","7","1","3","4","4"
"75451","20-12-25 14:00","Spain","LaLiga","2025/2026","Oviedo","Celta Vigo","56","44","50","50","61","39","10","6","4","2","6","4","3","2","2","0","1","2","5","3","2","1","3","2"
"75375","19-12-25 21:00","Spain","LaLiga","2025/2026","Valencia","Mallorca","71","29","71","29","71","29","17","4","8","3","9","1","2","2","0","2","2","0","5","1","1","0","4","1"
"75358","15-12-25 21:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Betis","59","41","60","40","59","41","23","13","13","9","10","4","7","6","4","3","3","3","9","4","3","3","6","1"
"75339","14-12-25 21:00","Spain","LaLiga","2025/2026","Alaves","Real Madrid","52","48","52","48","52","48","6","13","2","5","4","8","2","6","1","1","1","5","2","5","0","2","2","3"
"75340","14-12-25 16:15","Spain","LaLiga","2025/2026","Celta Vigo","Ath Bilbao","50","50","49","51","50","50","5","14","1","5","4","9","2","2","0","1","2","1","2","6","0","1","2","5"
"75341","14-12-25 14:00","Spain","LaLiga","2025/2026","Sevilla","Oviedo","56","44","50","50","61","39","13","5","6","3","7","2","7","1","2","1","5","0","2","3","1","1","1","2"
"75294","13-12-25 21:00","Spain","LaLiga","2025/2026","Getafe","Espanyol","56","44","41","59","69","31","11","6","3","3","8","3","1","4","0","1","1","3","6","2","2","2","4","0"
"75295","13-12-25 18:30","Spain","LaLiga","2025/2026","Barcelona","Osasuna","80","20","81","19","79","21","24","3","13","2","11","1","7","2","3","2","4","0","10","1","7","0","3","1"
"75296","13-12-25 16:15","Spain","LaLiga","2025/2026","Mallorca","Elche","42","58","40","60","45","55","15","9","5","4","10","5","8","0","3","0","5","0","5","6","2","3","3","3"
"75297","13-12-25 14:00","Spain","LaLiga","2025/2026","Atl. Madrid","Valencia","46","54","44","56","49","51","10","13","6","9","4","4","6","2","4","0","2","2","2","7","1","6","1","1"
"75215","12-12-25 21:00","Spain","LaLiga","2025/2026","Real Sociedad","Girona","47","53","52","48","41","59","9","14","6","4","3","10","4","3","3","1","1","2","3","6","2","1","1","5"
"75145","08-12-25 21:00","Spain","LaLiga","2025/2026","Osasuna","Levante","41","59","43","57","39","61","14","11","10","6","4","5","6","5","3","3","3","2","2","2","1","0","1","2"
"75119","07-12-25 21:00","Spain","LaLiga","2025/2026","Real Madrid","Celta Vigo","58","42","62","38","53","47","23","7","11","3","12","4","7","5","4","1","3","4","12","1","5","1","7","0"
"75120","07-12-25 18:30","Spain","LaLiga","2025/2026","Espanyol","Rayo Vallecano","36","64","34","66","39","61","9","6","5","2","4","4","2","2","1","1","1","1","5","1","3","1","2","0"
"75121","07-12-25 16:15","Spain","LaLiga","2025/2026","Valencia","Sevilla","48","52","49","51","47","53","11","4","2","3","9","1","3","1","0","1","3","0","5","3","1","2","4","1"
"75122","07-12-25 14:00","Spain","LaLiga","2025/2026","Elche","Girona","58","42","62","38","54","46","11","8","6","3","5","5","6","4","3","1","3","3","3","2","1","2","2","0"
"75068","06-12-25 21:00","Spain","LaLiga","2025/2026","Ath Bilbao","Atl. Madrid","44","56","47","53","42","58","14","7","9","3","5","4","3","3","1","1","2","2","8","3","6","2","2","1"
"75069","06-12-25 18:30","Spain","LaLiga","2025/2026","Betis","Barcelona","38","62","37","63","39","61","17","16","7","8","10","8","5","8","1","6","4","2","7","6","4","1","3","5"
"75070","06-12-25 16:15","Spain","LaLiga","2025/2026","Alaves","Real Sociedad","38","62","48","52","28","72","14","10","8","2","6","8","3","1","1","1","2","0","7","7","3","1","4","6"
"75071","06-12-25 14:00","Spain","LaLiga","2025/2026","Villarreal","Getafe","61","39","59","41","64","36","10","6","5","4","5","2","5","0","3","0","2","0","2","3","1","3","1","0"
"75007","05-12-25 21:00","Spain","LaLiga","2025/2026","Oviedo","Mallorca","62","38","61","39","64","36","15","13","8","6","7","7","3","6","2","5","1","1","8","5","3","0","5","5"
"74983","03-12-25 19:00","Spain","LaLiga","2025/2026","Ath Bilbao","Real Madrid","38","62","35","65","41","59","9","13","5","9","4","4","4","8","3","5","1","3","4","4","1","4","3","0"
"74958","02-12-25 21:00","Spain","LaLiga","2025/2026","Barcelona","Atl. Madrid","58","42","71","29","47","53","19","7","12","1","7","6","6","2","3","1","3","1","9","4","5","0","4","4"
"74948","01-12-25 21:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Valencia","56","44","61","39","51","49","19","10","11","3","8","7","7","2","6","1","1","1","9","4","4","1","5","3"
"74931","30-11-25 21:00","Spain","LaLiga","2025/2026","Girona","Real Madrid","40","60","45","55","34","66","10","25","5","9","5","16","4","4","2","1","2","3","4","12","2","4","2","8"
"74932","30-11-25 18:30","Spain","LaLiga","2025/2026","Celta Vigo","Espanyol","60","40","60","40","62","38","11","9","5","1","6","8","4","2","1","0","3","2","2","4","1","1","1","3"
"74933","30-11-25 16:15","Spain","LaLiga","2025/2026","Sevilla","Betis","65","35","63","37","66","34","9","9","2","4","7","5","3","4","0","1","3","3","4","3","2","3","2","0"
"74934","30-11-25 14:00","Spain","LaLiga","2025/2026","Real Sociedad","Villarreal","60","40","57","43","63","37","18","10","5","3","13","7","7","5","3","2","4","3","6","4","1","1","5","3"
"74877","29-11-25 21:00","Spain","LaLiga","2025/2026","Atl. Madrid","Oviedo","52","48","58","42","46","54","14","12","9","4","5","8","8","1","5","1","3","0","5","8","3","2","2","6"
"74878","29-11-25 18:30","Spain","LaLiga","2025/2026","Levante","Ath Bilbao","56","44","55","45","58","42","11","14","5","10","6","4","4","4","2","3","2","1","5","8","1","6","4","2"
"74879","29-11-25 16:15","Spain","LaLiga","2025/2026","Barcelona","Alaves","69","31","63","37","75","25","18","9","7","7","11","2","6","2","2","2","4","0","6","5","2","4","4","1"
"74880","29-11-25 14:00","Spain","LaLiga","2025/2026","Mallorca","Osasuna","52","48","65","35","38","62","7","14","2","6","5","8","4","2","1","0","3","2","3","6","1","3","2","3"
"74795","28-11-25 21:00","Spain","LaLiga","2025/2026","Getafe","Elche","34","66","34","66","34","66","15","9","7","4","8","5","6","4","1","2","5","2","5","3","2","1","3","2"
"74735","24-11-25 21:00","Spain","LaLiga","2025/2026","Espanyol","Sevilla","33","67","33","67","33","67","8","22","4","9","4","13","5","6","2","4","3","2","2","8","2","3","0","5"
"74712","23-11-25 21:00","Spain","LaLiga","2025/2026","Elche","Real Madrid","49","51","46","54","51","49","15","20","7","8","8","12","6","7","3","2","3","5","4","10","2","4","2","6"
